                          KPCA_Naive Bayes    LDA_Naive Bayes    PCA_Naive Bayes    UMAP_Naive Bayes    KPCA_Nearest Neighbors    LDA_Nearest Neighbors    PCA_Nearest Neighbors    UMAP_Nearest Neighbors    KPCA_RBF SVM    LDA_RBF SVM    PCA_RBF SVM    UMAP_RBF SVM    KPCA_Random Forest    LDA_Random Forest    PCA_Random Forest    UMAP_Random Forest
----------------------  ------------------  -----------------  -----------------  ------------------  ------------------------  -----------------------  -----------------------  ------------------------  --------------  -------------  -------------  --------------  --------------------  -------------------  -------------------  --------------------
KPCA_Naive Bayes                         0                  0                  0                   0                         1                        1                        1                         1               1              1              1               1                     1                    1                    0                     1
LDA_Naive Bayes                          0                  0                  0                   0                         1                        1                        1                         0               1              0              1               1                     1                    1                    0                     1
PCA_Naive Bayes                          0                  0                  0                   0                         1                        1                        1                         1               1              1              1               1                     1                    1                    0                     0
UMAP_Naive Bayes                         0                  0                  0                   0                         1                        1                        1                         1               1              1              1               1                     1                    1                    1                     0
KPCA_Nearest Neighbors                   0                  0                  0                   0                         0                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
LDA_Nearest Neighbors                    0                  0                  0                   0                         0                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
PCA_Nearest Neighbors                    0                  0                  0                   0                         0                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
UMAP_Nearest Neighbors                   0                  0                  0                   0                         1                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
KPCA_RBF SVM                             0                  0                  0                   0                         0                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
LDA_RBF SVM                              0                  0                  0                   0                         1                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
PCA_RBF SVM                              0                  0                  0                   0                         0                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
UMAP_RBF SVM                             0                  0                  0                   0                         0                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
KPCA_Random Forest                       0                  0                  0                   0                         1                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
LDA_Random Forest                        0                  0                  0                   0                         1                        1                        0                         0               0              0              0               0                     0                    0                    0                     0
PCA_Random Forest                        0                  0                  0                   0                         1                        0                        0                         0               0              0              0               1                     0                    0                    0                     0
UMAP_Random Forest                       0                  0                  0                   0                         1                        0                        0                         0               0              0              0               0                     0                    0                    0                     0
